Entity,Code,Year,pop_missreg_bmr_owid,pop_nondem_womsuffr_bmr_owid,pop_dem_womsuffr_bmr_owid
Oceania,,1957,3203698,0,11817287
Oceania,,1958,3266788,0,12084728
Oceania,,1959,3334521,0,12352203
Oceania,,1960,3406963,0,12614669
Oceania,,1961,3484095,0,12869900
Oceania,,1962,3449773,115768,13120612
Oceania,,1963,3531124,119552,13375365
Oceania,,1964,3615328,123346,13645955
Oceania,,1965,3701804,127055,13939835
Oceania,,1966,3790342,130672,14260487
Oceania,,1967,3880954,134181,14602320
Oceania,,1968,3967520,137484,14958868
Oceania,,1969,4062909,140495,15299734
Oceania,,1970,3556200,227490,16138535
Oceania,,1971,3645061,230899,16442238
Oceania,,1972,3736983,233622,16723491
Oceania,,1973,3831989,235816,16982274
Oceania,,1974,3929962,237775,17220229
Oceania,,1975,890941,239674,20579660
Oceania,,1976,914811,241590,20858966
Oceania,,1977,938638,243477,21123282
Oceania,,1978,740505,245322,21606197
Oceania,,1979,757693,247011,21885804
Oceania,,1980,660535,248488,22303061
Oceania,,1981,677299,249825,22633863
Oceania,,1982,695301,251001,22988326
Oceania,,1983,714418,252081,23362346
Oceania,,1984,734375,253036,23748807
Oceania,,1985,754964,253891,24142186
Oceania,,1986,776159,254633,24541867
Oceania,,1987,797887,977056,24226780
Oceania,,1988,819647,978885,24636355
Oceania,,1989,840759,981385,25046076
Oceania,,1990,860774,986441,25451478
Oceania,,1991,879374,994641,25851228
Oceania,,1992,746059,1005358,26396537
Oceania,,1993,759376,1017635,26789191
Oceania,,1994,773093,1030035,27176862
Oceania,,1995,770585,1041450,27577594
Oceania,,1996,786101,1051821,27958549
Oceania,,1997,722241,1061422,28418209
Oceania,,1998,737434,1070023,28799887
Oceania,,1999,751785,1077383,29185054
Oceania,,2000,764620,1496092,29164375
Oceania,,2001,775839,1511748,29549965
Oceania,,2002,785618,1526124,29943156
Oceania,,2003,793933,1540166,30357308
Oceania,,2004,800861,1555224,30809681
Oceania,,2005,806638,1572154,31311420
Oceania,,2006,811108,1110457,32349507
Oceania,,2007,814391,1120807,32965728
Oceania,,2008,817059,1132010,33612093
Oceania,,2009,819860,1142086,34263192
Oceania,,2010,823301,1149741,34900027
Oceania,,2011,827644,1154478,35516202
Oceania,,2012,832763,1156890,36115079
Oceania,,2013,838473,1158082,36699187
Oceania,,2014,844391,293243,38140996
Oceania,,2015,850317,294290,38714086
Oceania,,2016,856146,295683,39283802
Oceania,,2017,862026,297360,39847093
Oceania,,2018,867879,299327,40403617
Oceania,,2019,873789,301590,40952669
Oceania,,2020,879710,304107,41493992
South America,,1800,9277932,0,0
South America,,1801,9310655,0,0
South America,,1802,9353714,0,0
South America,,1803,9400414,0,0
South America,,1804,9450790,0,0
South America,,1805,9504877,0,0
South America,,1806,9562721,0,0
South America,,1807,9624367,0,0
South America,,1808,9689860,0,0
South America,,1809,9759256,0,0
South America,,1810,9862560,0,0
South America,,1811,9751089,199864,0
South America,,1812,9864304,192595,0
South America,,1813,9987397,185591,0
South America,,1814,10114226,178841,0
South America,,1815,10244894,172337,0
South America,,1816,10379512,166069,0
South America,,1817,10518188,160029,0
South America,,1818,9889593,925656,0
South America,,1819,10036899,925450,0
South America,,1820,8877711,2249874,0
South America,,1821,6516401,4770075,0
South America,,1822,6618885,4844468,0
South America,,1823,6708502,4941501,0
South America,,1824,1997986,9842785,0
South America,,1825,290781,11744971,0
South America,,1826,289026,11946022,0
South America,,1827,287425,12151333,0
South America,,1828,285978,12361006,0
South America,,1829,284685,12581507,0
South America,,1830,218754,12886984,0
South America,,1831,1909559,11429809,0
South America,,1832,203585,13390723,0
South America,,1833,200585,13661583,0
South America,,1834,197666,13939465,0
South America,,1835,194828,14224600,0
South America,,1836,192067,14517221,0
South America,,1837,189382,14817582,0
South America,,1838,186771,15125932,0
South America,,1839,185273,15436028,0
South America,,1840,194655,15747981,0
South America,,1841,185612,16061907,0
South America,,1842,187450,16377930,0
South America,,1843,190402,16696181,0
South America,,1844,193431,17023311,0
South America,,1845,196537,17359636,0
South America,,1846,199723,17705491,0
South America,,1847,202993,18061213,0
South America,,1848,206346,18427164,0
South America,,1849,209468,18753048,0
South America,,1850,223062,19038411,0
South America,,1851,214893,19290846,0
South America,,1852,217170,19501823,0
South America,,1853,219166,19670664,0
South America,,1854,221189,19847327,0
South America,,1855,223236,20031832,0
South America,,1856,225309,20224215,0
South America,,1857,227409,20424515,0
South America,,1858,229536,20632782,0
South America,,1859,232049,20848749,0
South America,,1860,246730,21071847,0
South America,,1861,238300,21301523,0
South America,,1862,242066,21537231,0
South America,,1863,246281,21778434,0
South America,,1864,250600,22024957,0
South America,,1865,255028,22276902,0
South America,,1866,259566,22534387,0
South America,,1867,264217,22797528,0
South America,,1868,268986,23066439,0
South America,,1869,273878,23352934,0
South America,,1870,291824,23657841,0
South America,,1871,284051,23981994,0
South America,,1872,289339,24326225,0
South America,,1873,294763,24691370,0
South America,,1874,300326,25066613,0
South America,,1875,306029,25452082,0
South America,,1876,311877,25847913,0
South America,,1877,317874,26254245,0
South America,,1878,324022,26671227,0
South America,,1879,329482,27116769,0
South America,,1880,348441,27591369,0
South America,,1881,338237,28095583,0
South America,,1882,341479,28630029,0
South America,,1883,343928,29195398,0
South America,,1884,346399,29774618,0
South America,,1885,348890,30368200,0
South America,,1886,351402,30976690,0
South America,,1887,353935,31600665,0
South America,,1888,356489,32240734,0
South America,,1889,359053,32891679,0
South America,,1890,377261,33553767,0
South America,,1891,364209,34227221,0
South America,,1892,366801,34912203,0
South America,,1893,369402,35608817,0
South America,,1894,372024,36322977,0
South America,,1895,374668,37055063,0
South America,,1896,377333,37805480,0
South America,,1897,380020,38574636,0
South America,,1898,382730,39362955,0
South America,,1899,384857,40167918,0
South America,,1900,403611,40989635,0
South America,,1901,387348,41828239,0
South America,,1902,387704,42683872,0
South America,,1903,387464,43556701,0
